# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Jun 29 19:16:28 2021
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1
# CONSTRAINT:  and pl_orbperstr not null
# CONSTRAINT:  and pl_orbsmaxstr not null
# CONSTRAINT:  and pl_orbeccenstr not null
# CONSTRAINT:  and pl_orbinclstr not null
# CONSTRAINT:  and pl_orblperstr not null)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN soltype:        Solution Type
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN pl_orblper:     Argument of Periastron [deg]
# COLUMN pl_orblpererr1: Argument of Periastron Upper Unc. [deg]
# COLUMN pl_orblpererr2: Argument of Periastron Lower Unc. [deg]
# COLUMN pl_orblperlim:  Argument of Periastron Limit Flag
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,soltype,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orblperlim,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
HD 108236 d,HD 108236,1,1,5,Transit,2020,Published Confirmed,14.17568500,0.00008300,-0.00010000,0,0.107400,0.002300,-0.002300,0,0.055000,0.038000,-0.035000,0,89.060,0.270,-0.140,0,151.0000,46.0000,-33.0000,0,9.0874500,0.0001570,-0.0001570
HD 108236 e,HD 108236,1,1,5,Transit,2020,Published Confirmed,19.59002500,0.00008300,-0.00008900,0,0.136700,0.002200,-0.002000,0,0.058000,0.032000,-0.036000,0,89.245,0.120,-0.086,0,128.0000,37.0000,-54.0000,0,9.0874500,0.0001570,-0.0001570
HD 108236 f,HD 108236,1,1,5,Transit,2021,Published Confirmed,29.54115000,0.00033000,-0.00042000,0,0.175800,0.004100,-0.003800,0,0.051000,0.036000,-0.034000,0,88.963,0.042,-0.042,0,275.0000,45.0000,-63.0000,0,9.0874500,0.0001570,-0.0001570
HD 110082 b,HD 110082,1,2,1,Transit,2021,Published Confirmed,10.18271000,0.00004000,-0.00004000,0,0.113000,0.009000,-0.013000,0,0.200000,0.200000,-0.100000,0,88.200,1.100,-0.700,0,138.0000,60.0000,-100.0000,0,9.1152300,0.0003400,-0.0003400
HD 124330 b,HD 124330,1,1,1,Radial Velocity,2021,Published Confirmed,270.66000000,1.21000000,-1.21000000,0,0.860000,0.040000,-0.040000,0,0.340000,0.050000,-0.050000,0,0.808,,,-1,18.2800,10.4400,-10.4400,0,7.7167400,0.0003240,-0.0003240
HD 128311 b,HD 128311,1,1,2,Radial Velocity,2002,Published Confirmed,453.01900000,0.40400000,-0.40400000,0,1.084000,0.006000,-0.006000,0,0.303000,0.011000,-0.011000,0,30.000,,,-1,57.8640,3.2580,-3.2580,0,7.1671900,0.0005370,-0.0005370
HD 128311 c,HD 128311,1,1,2,Radial Velocity,2005,Published Confirmed,921.53800000,1.15000000,-1.15000000,0,1.740000,0.010000,-0.010000,0,0.159000,0.006000,-0.006000,0,55.950,14.553,-14.553,0,15.4450,6.8700,-6.8700,0,7.1671900,0.0005370,-0.0005370
HD 136352 b,HD 136352,1,1,3,Radial Velocity,2019,Published Confirmed,11.57779000,0.00091000,-0.00110000,0,0.096900,0.001900,-0.001700,0,0.079000,0.068000,-0.053000,0,88.860,0.540,-0.300,0,172.0000,63.0000,-67.0000,0,5.4849500,0.0015675,-0.0015675
HD 136352 c,HD 136352,1,1,3,Radial Velocity,2019,Published Confirmed,27.59090000,0.00280000,-0.00310000,0,0.172900,0.003400,-0.003000,0,0.037000,0.039000,-0.026000,0,88.658,0.055,-0.057,0,142.0000,86.0000,-92.0000,0,5.4849500,0.0015675,-0.0015675
HD 1397 b,HD 1397,1,1,1,Transit,2018,Published Confirmed,11.53533000,0.00079000,-0.00080000,0,0.109700,0.001100,-0.001300,0,0.251000,0.020000,-0.019000,0,88.990,0.670,-0.730,0,2.1000,6.1000,-7.0000,0,7.5933600,0.0002780,-0.0002780
HD 15337 b,HD 15337,1,1,2,Transit,2019,Published Confirmed,4.75615000,0.00017000,-0.00017000,0,0.052200,0.001200,-0.001200,0,0.090000,0.050000,-0.050000,0,88.500,0.600,-0.400,0,62.0000,42.0000,-32.0000,0,8.8559800,0.0001780,-0.0001780
HD 15337 c,HD 15337,1,1,2,Transit,2019,Published Confirmed,17.17840000,0.00160000,-0.00160000,0,0.126800,0.003800,-0.003800,0,0.050000,0.060000,-0.040000,0,88.500,0.200,-0.100,0,329.0000,69.0000,-64.0000,0,8.8559800,0.0001780,-0.0001780
HD 155193 b,HD 155193,1,1,1,Radial Velocity,2021,Published Confirmed,352.65000000,2.58000000,-2.58000000,0,1.040000,0.040000,-0.040000,0,0.210000,0.080000,-0.080000,0,0.711,,,-1,62.8800,136.2100,-136.2100,0,6.8668600,0.0001950,-0.0001950
HD 192310 b,HD 192310,1,1,2,Radial Velocity,2011,Published Confirmed,74.72000000,0.10000000,-0.10000000,0,0.320000,0.005000,-0.005000,0,0.130000,0.040000,-0.040000,0,90.000,,,0,173.0000,20.0000,-20.0000,0,5.4766100,0.0019526,-0.0019526
HD 192310 c,HD 192310,1,1,2,Radial Velocity,2011,Published Confirmed,525.80000000,9.20000000,-9.20000000,0,1.180000,0.025000,-0.025000,0,0.320000,0.110000,-0.110000,0,90.000,,,0,110.0000,21.0000,-21.0000,0,5.4766100,0.0019526,-0.0019526
